gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Q0020,18.47779121,-1.686283757,0.434461907,-3.881315555,0.000103893,0.000194708
Q0055,19.51182879,-2.387055826,0.442554447,-5.393812761,6.90E-08,1.75E-07
Q0105,23.04864246,-2.282764844,0.465692405,-4.901872608,9.49E-07,2.16E-06
Q0120,34.13495757,-1.929412061,0.325122367,-5.934418103,2.95E-09,8.24E-09
Q0158,172.8096607,-2.390460536,0.161817436,-14.77257699,2.20E-49,2.41E-48
YAL012W,18375.0912,2.804726313,0.069028524,40.63141085,0,0
YAL018C,638.9945614,-1.001502095,0.141739251,-7.065806326,1.60E-12,5.37E-12
YAL039C,7415.346559,-1.879061326,0.067993105,-27.63605706,4.11E-168,1.41E-166
YAL044C,14251.60948,1.344352955,0.054138143,24.83190023,4.06E-136,1.09E-134
YAL054C,2840.835195,-1.580912501,0.073186875,-21.60103835,1.76E-103,3.54E-102
YAL062W,11867.12142,-1.291370213,0.044113225,-29.27399247,2.22E-188,9.24E-187
YAL067C,2105.871208,1.553138765,0.105707764,14.69275956,7.17E-49,7.78E-48
YAR009C,87.40405647,1.865399496,0.206081448,9.051758475,1.41E-19,6.75E-19
YAR020C,725.5901078,-1.887353116,0.084591419,-22.31140151,2.86E-110,6.17E-109
YBL005W-B,288.2723107,1.532677719,0.12317508,12.44308276,1.53E-35,1.24E-34
YBL015W,7614.527615,-1.393320319,0.050715649,-27.47318321,3.67E-166,1.25E-164
YBL030C,7546.540472,-2.392015679,0.070697767,-33.83438778,6.16E-251,3.57E-249
YBL042C,5559.95337,-1.197771123,0.06823224,-17.55432809,5.51E-69,7.85E-68
YBL043W,2079.220878,-1.08591509,0.100905673,-10.76168525,5.22E-27,3.34E-26
YBL045C,11875.92598,-1.932817799,0.058736427,-32.90662869,1.77E-237,9.59E-236
YBL064C,15588.06216,-1.489970351,0.057933499,-25.71863202,7.23E-146,2.15E-144
YBL075C,7838.781487,-2.511081253,0.053339684,-47.07716789,0,0
YBL099W,22168.2918,-1.750070183,0.050934503,-34.35922787,1.03E-258,6.31E-257
YBL100W-B,350.1851795,1.271832589,0.122402257,10.3905975,2.74E-25,1.65E-24
YBR012W-B,208.3566552,1.169877111,0.128483663,9.105259648,8.61E-20,4.15E-19
YBR021W,2290.951956,-1.263763213,0.055624547,-22.71952366,2.87E-114,6.37E-113
YBR039W,15740.25536,-2.042796649,0.051606875,-39.58380843,0,0
