Geneid,SRR1166442,SRR1166443,SRR1166444,SRR1166445,SRR1166446,SRR1166447
YAL068C,111,162,123,182,120,121
YAL067W-A,3,3,4,5,4,1
YAL067C,3586,3790,2270,1187,1133,891
YAL065C,48,55,34,31,32,33
YAL064W-B,46,62,39,49,37,36
YAL064C-A,140,155,98,165,106,125
YAL064W,8,11,8,11,14,5
YAL063C-A,53,67,66,93,97,60
YAL063C,331,363,255,445,390,380
YAL062W,7269,7708,5949,19810,16330,14504
YAL061W,2903,2933,2292,3047,2259,2117
YAL060W,5905,6068,4557,10355,7770,7342
YAL059W,1264,1500,1113,1722,1529,1399
YAL058W,1725,1937,1564,1488,1269,1140
YAL056W,5799,6631,4919,7055,5861,5401
YAL055W,1170,1225,884,1807,1402,1294
YAL054C,1527,1553,1242,5290,3781,3759
YAL053W,5340,6247,5309,9050,7247,7460
YAL051W,2314,2657,2076,2639,2192,1971
YAL049C,1093,1133,992,1675,1430,1253
YAL048C,1614,1738,1404,1449,1352,1171
YAL047C,1251,1372,1077,1402,1215,1026
YAL046C,1138,1230,1023,1924,1259,1425
YAL044W-A,1894,2005,1595,3780,2789,2763
YAL044C,21991,22512,17629,9717,7605,6920
YAL043C,3721,4356,3367,3581,2806,2660
YAL042W,10070,11275,8912,9283,7913,7168
YAL041W,4237,4753,3629,4037,3376,3080
YAL040C,1805,2328,2035,1826,1534,1519
YAL039C,3039,3535,3019,14225,10714,10168
YAL038W,216047,236448,202706,230762,208523,179143
YAL037C-A,62,69,64,78,81,60
YAL037W,854,943,781,703,627,520
YAL036C,2546,3151,2520,3227,2868,2729
YAL035W,10988,12710,9223,17535,14242,13301
YAL034W-A,776,841,623,1036,823,733
YAL034C,2224,2582,1799,3234,3039,2485
YAL033W,762,802,695,1025,815,680
YAL032C,1862,2089,1723,2959,2434,2224
YAL031C,3443,3671,2879,3192,2637,2380
YAL030W,2986,3272,2504,3512,2731,2437
YAL029C,3320,3709,2868,3412,2744,2728
YAL028W,1603,1787,1347,1773,1485,1253
YAL027W,780,788,633,1048,867,846
YAL026C,3611,4284,3286,3704,3190,2864
YNCA0001W,76,57,48,25,24,14
YAL025C,2852,3559,2874,4525,3809,3667
YAL024C,1063,1121,970,1344,1108,1167
YAL023C,10137,11623,9720,10801,8494,8608
YAL022C,3158,3527,2815,1960,1761,1490
YAL021C,4519,5030,4022,5397,4563,4270
YAL020C,1806,1940,1530,2039,1563,1498
YAL019W,3156,3654,2681,3982,3324,3154
YAL018C,503,464,331,864,1039,648
YAL017W,3734,4087,3313,4861,4036,3629
YAL016W,7442,8194,6164,9015,7787,6613
YAL015C,2169,2413,1904,1811,1475,1363
YAL014C,3035,3497,2749,3097,2390,2289
YAL013W,3928,4357,3488,3655,2933,2782
YAL012W,34260,38402,25641,5225,4734,3854
YAL011W,1692,1976,1424,2550,2022,1887
YAL010C,1731,1879,1451,1454,1433,1178
YAL009W,1688,1827,1436,1748,1458,1301
YAL008W,3333,3599,2787,4513,4168,3280
YAL007C,3187,3709,2804,3459,2569,2630
YNCA0002W,1,1,0,1,1,0
YAL005C,17985,18417,14332,35641,32537,25809
YAL003W,20757,24046,18538,39561,31979,30744
YNCA0003W,279,383,286,591,492,459
YAL002W,3315,3789,2852,3990,3464,3178
YAL001C,4316,4707,3773,4873,3947,3759
YAR002W,3299,3707,2824,2851,2388,2178
YAR002C-A,6327,7012,5554,7840,6322,6029
YAR003W,2398,2628,2096,2083,1680,1658
YAR007C,2971,3121,2438,5225,4300,3758
YAR008W,1266,1340,1070,1854,1372,1427
YAR009C,161,149,108,44,34,35
YAR010C,9,13,6,7,6,1
YNCA0004W,8,11,7,1,3,2
YAR014C,4758,5419,4225,3876,3164,3001
YAR015W,13127,14994,9684,11427,9663,8701
YAR018C,1506,1641,1356,1258,1023,927
YAR019C,1388,1587,1253,1485,1255,1177
YAR020C,326,364,251,1282,1179,967
YAR023C,666,720,557,546,486,434
YNCA0005W,3,1,0,1,1,0
YNCA0006C,4,1,2,1,1,2
YAR027W,2893,3127,2278,3212,2882,2339
YAR028W,2395,2621,2023,1531,1259,1099
YAR029W,602,568,453,483,439,343
YAR031W,426,521,381,476,367,349
YAR033W,321,346,290,279,219,199
YAR035W,10731,11728,9471,9415,7458,6900
YAR035C-A,54,46,40,44,30,23
YAR042W,3235,3729,2726,3899,3139,3056
YAR050W,389,427,367,424,407,410
YAR061W,0,1,0,0,1,0
YAR064W,19,19,17,16,14,9
YAR066W,13,5,4,3,10,5
YAR068W,7,9,7,6,5,6
YAR071W,187,194,146,161,130,127
YBL113C,348,354,292,488,386,318
YBL112C,0,0,0,0,0,0
YBL111C,0,1,0,2,4,0
YBL108C-A,0,0,0,0,0,0
YNCB0001W,6,13,10,0,2,2
YBL107C,2631,2858,2243,2956,2679,2230
YBL106C,3271,3713,2733,2822,2084,2203
YBL105C,3803,4307,3355,6057,5158,4860
YBL104C,2322,2634,2018,2730,2167,2152
YBL103C,3630,4111,2988,2676,2187,2085
YBL102W,4716,5055,3817,3828,3010,2721
YBL101C,2570,2752,2113,3892,3304,2935
YBL100W-C,68,57,35,76,64,50
YBL100W-B,468,523,499,210,201,199
YBL100W-A,0,0,0,0,0,0
YNCB0002W,2,0,0,0,0,0
YBL099W,10733,11454,8713,39867,31604,31024
YBL098W,7470,7846,5699,4917,4816,3740
YBL097W,375,427,337,468,405,384
YBL095W,916,917,788,1437,1246,1196
YBL093C,6487,7962,6865,8933,7323,7012
YBL092W,32032,38837,27751,50047,40705,38761
YBL091C-A,1931,1989,1586,2525,2103,1751
YBL091C,8790,9735,7634,6882,5923,5295
YBL090W,1827,1998,1726,2871,2306,2225
YBL089W,1414,1551,1205,1188,1052,913
YBL088C,2202,2442,1848,3030,2316,2385
YBL087C,8562,10586,7449,12797,10250,9850
YBL086C,1928,1907,1438,2473,2013,1695
YBL085W,3933,4459,3513,4614,3615,3505
YBL084C,1971,2205,1665,2163,1973,1666
YBL082C,1663,1837,1588,1512,1268,1119
YBL081W,1028,1270,982,762,673,648
YBL080C,1493,1626,1405,1793,1422,1302
YBL079W,2896,3305,2643,3981,3028,3036
YBL078C,2009,2064,1481,2714,2644,1891
YBL076C,20698,23846,17244,17921,14727,14262
YBL075C,2480,2651,1988,15946,12476,11685
YBL074C,937,1010,783,722,633,567
YNCB0003W,14,14,16,34,21,14
YBL072C,9133,11386,8003,13584,11046,10303
YBL071C-B,74,91,54,45,51,45
YBL071W-A,892,1046,861,932,700,741
YBL071C,719,811,607,672,578,551
YBL069W,1277,1469,1226,1139,977,780
YBL068W,1912,2290,1716,2082,1763,1621
YBL067C,2737,3048,2411,3743,3528,2904
YBL066C,1142,1256,1010,2478,1900,1987
YBL064C,8995,8992,6903,26142,23276,19574
YBL063W,876,1072,763,997,863,806
YBL061C,3850,4444,3340,3162,2615,2436
YBL060W,2284,2407,1995,2045,1763,1569
YBL059C-A,1288,1295,1003,2005,1767,1602
YBL059W,670,721,578,1077,915,822
YBL058W,7789,8332,6317,9769,8368,6907
YBL057C,2718,3039,2548,2005,1580,1499
YBL056W,6552,7311,5606,7020,6125,5306
YBL055C,1693,1869,1566,1120,999,885
YBL054W,1604,1920,1554,1830,1649,1671
YBL052C,2475,2710,2132,2653,2166,2043
YBL051C,3115,3447,2482,3573,2927,2739
YBL050W,5461,5637,4497,7024,5741,4996
YBL049W,3883,4106,3283,5121,4807,3635
YBL048W,1398,1436,1088,1694,1668,1383
YBL047C,8011,9036,7028,10798,8018,8145
YBL046W,2166,2442,1823,2237,1970,1736
YBL045C,5376,5536,4098,21805,17534,17087
YBL044W,39,38,50,22,11,26
YBL043W,1136,1543,1344,3255,2565,2641
YBL042C,3157,3841,3222,8780,7290,7105
YBL041W,6879,7568,6311,13126,10764,9934
YBL040C,4401,4728,3615,4268,3476,3275
YBL039W-B,563,627,505,1263,967,960
YBL039C,3021,4015,2930,4616,3803,3917
YBL038W,2442,2501,2111,4696,3872,3567
YBL037W,1679,1892,1475,2385,1838,1863
YBL036C,6092,6357,4950,3633,3263,2807
YBL035C,1653,1916,1414,2075,1693,1663
YBL034C,1302,1519,1114,1670,1358,1361
YBL033C,5755,7604,6422,12789,9964,9730
YBL032W,3447,3750,3139,3601,2964,2754
YBL031W,1177,1351,1070,1085,889,812
YBL030C,2530,2614,2176,14843,11171,11962
YBL029C-A,1365,1420,1125,2835,2201,2223
YBL029W,5053,5347,4092,9100,9043,7016
YBL028C,1237,1456,1187,1478,1169,1096
YBL027W,27409,32355,23653,39036,30912,29557
YBL026W,1773,1920,1525,2634,2126,2037
YBL025W,971,1086,884,785,721,635
YBL024W,3510,4241,3095,4503,3967,3597
YBL023C,2155,2457,1927,2861,2407,2289
YBL022C,5730,6446,4962,8312,6714,6060
YBL021C,1308,1323,1101,1742,1191,1295
YBL020W,2670,2997,2292,3413,2816,2652
YBL019W,1592,1746,1369,2235,1956,1650
YBL018C,1613,1731,1302,2250,1767,1779
YBL017C,8004,8904,7061,9129,7807,7124
YBL016W,2964,3090,2538,2383,2219,1858
YBL015W,4449,4630,3670,12406,10507,10088
YNCB0004W,0,0,0,0,0,0
YNCB0005C,0,0,0,0,0,0
YBL014C,1783,2100,1591,2287,1771,1755
YBL013W,335,415,315,407,334,320
YBL011W,4027,4694,3758,4289,3782,3386
YBL010C,1325,1439,1078,1268,1029,958
YBL009W,1264,1406,1070,1427,1166,1209
YBL008W-A,14,17,21,9,16,9
YBL008W,1643,1777,1407,1791,1547,1479
YBL007C,7474,8629,6738,11322,8681,8396
YBL006C,2665,2808,2301,2964,2353,2079
YBL005W,3245,3483,2709,2281,2359,1808
YBL005W-B,449,476,375,145,171,126
YBL005W-A,0,0,0,0,0,0
YNCB0006W,4,1,2,4,8,1
YBL004W,2022,2361,1651,3632,2814,2893
YBL003C,21769,22157,16997,14698,12284,12026
YBL002W,21428,22483,16930,14849,12780,12441
YBL001C,7844,7958,6276,13441,9694,9871
YBR001C,3895,4044,2932,3795,3342,2824
YBR002C,2948,3475,2686,3964,3405,3097
YBR003W,3640,3904,3111,3523,3242,2634
YBR004C,1422,1684,1277,1259,1238,994
YBR005W,1973,2063,1632,2377,2049,1787
YBR006W,4961,5015,3796,5033,4305,3516
YBR007C,4438,5151,3829,3402,3023,2771
YBR008C,2869,3145,2412,2035,1912,1584
YBR009C,30045,30661,23835,18267,14965,15348
YBR010W,31664,32288,25290,34671,28262,26942
YBR011C,57841,63170,46549,41941,36019,31397
YBR012W-B,323,309,244,141,130,113
YBR012W-A,0,0,0,0,0,0
YBR013C,1022,1044,779,1234,1080,918
YNCB0007W,1,1,1,0,3,1
YBR014C,2893,3054,2347,3178,2762,2353
YBR015C,3835,4300,3336,5146,4377,3889
YBR016W,3292,3513,2756,3220,2657,2504
YBR017C,4202,4882,3723,4866,4124,3729
YBR018C,697,742,541,606,592,457
YBR019C,540,559,439,447,391,315
YNCB0008W,251,254,185,309,227,205
YBR020W,0,0,0,0,0,0
YBR021W,1324,1596,1179,3666,3199,2833
YBR022W,1708,1803,1421,2329,1990,1762
YBR023C,3845,4372,3448,4808,3644,3815
YBR024W,1618,1764,1354,2096,1853,1526
YBR025C,14148,16570,11866,22379,20551,17598
YBR026C,4831,5116,3882,6886,5846,4899
YBR027C,100,133,89,103,77,82
YBR028C,3168,3498,2885,3639,3191,2855
YBR029C,2301,2593,1870,3748,2554,2501
YBR030W,1844,2100,1687,2448,1858,1825
YBR031W,9423,11170,8260,9109,7739,7458
YBR032W,137,138,119,105,81,64
YBR033W,1712,1828,1458,3203,2715,2521
YBR034C,4657,6411,5949,9554,7593,7309
YBR035C,9615,10094,7714,6831,5807,5144
YNCB0009C,39,48,25,14,13,16
YNCB0010W,3427,3655,2875,2639,2558,2249
YBR036C,7072,7853,6079,8264,6916,6375
YBR037C,2056,2237,1789,2573,1966,1734
YBR038W,2478,2983,2272,2625,1926,2007
YBR039W,6532,6893,5269,29263,23561,23094
YBR040W,519,570,455,986,820,741
YBR041W,2995,3303,2528,2765,2326,2053
YBR042C,2787,3087,2451,2847,2725,2229
YBR043C,5064,5696,4312,4447,3751,3457
YBR044C,2287,2604,1977,2402,1909,1781
YNCB0011C,5,0,1,0,2,2
YBR045C,1178,1286,918,1250,1358,930
YBR046C,3686,3951,2761,2481,2126,1802
YBR047W,2870,2867,2185,1006,858,716
YBR048W,10402,12629,9065,14460,11456,10865
YBR049C,4460,4891,3864,6065,4945,4625
YBR050C,264,302,218,5573,4779,4010
YBR052C,5972,6041,4853,8234,6297,5785
YBR053C,4029,4350,3255,5046,4414,3648
YBR054W,13174,14079,10322,21846,20977,17444
YBR055C,3223,3776,2919,3083,2579,2237
YNCB0012W,1,1,1,1,1,0
YBR056W,5891,6296,4834,6498,6116,4877
YNCB0013W,2,1,0,3,3,1
YBR056W-A,457,481,332,900,915,719
YBR057C,3082,3551,2725,3762,3330,2812
YBR058C,3060,3323,2605,3945,3311,3093
