"Geneid","Chr","Start","End","Strand","Length","X.scratch_tmp.grp.msc_appbio.group8.output.alignment_SRR1166444.theAlignmentAligned.sortedByCoord.out.bam","rpkm","normalized_rpkm"
"YAL068C","NC_001133.9","1807","2169","-",363,123,0.0121623880342238,10.8984553552894
"YAL067W-A","NC_001133.9","2480","2707","+",228,4,0.00062971713827175,0.564276036795046
"YAL067C","NC_001133.9","7235","9016","-",1782,2270,0.0457234009657585,40.9717600454046
"YAL065C","NC_001133.9","11565","11951","-",387,34,0.0031534672195624,2.8257544168186
"YAL064W-B","NC_001133.9","12046","12426","+",381,39,0.0036741763736958,3.2923507343711
"YAL064C-A","NC_001133.9","13363","13743","-",381,98,0.00923254575954329,8.27308646072738
"YAL064W","NC_001133.9","21566","21850","+",285,8,0.0010075474212348,0.902841658872074
"YAL063C-A","NC_001133.9","22395","22685","-",291,66,0.00814087929270901,7.29486752722668
"YAL063C","NC_001133.9","24000","27968","-",3969,255,0.00230610698029223,2.06645305991837
"YAL062W","NC_001133.9","31567","32940","+",1374,5949,0.155409514969419,139.259136932273
"YAL061W","NC_001133.9","33448","34701","+",1254,2292,0.0656050764054023,58.7873034697385
"YAL060W","NC_001133.9","35155","36303","+",1149,4557,0.142357177501261,127.563216955158
"YAL059W","NC_001133.9","36509","37147","+",639,1113,0.0625193817982755,56.0222786389899
"YAL058W","NC_001133.9","37464","38972","+",1509,1564,0.0372021361448972,33.3360371956294
"YAL056W","NC_001133.9","39259","41901","+",2643,4919,0.066803624812731,59.8612970203199
"YAL055W","NC_001133.9","42177","42719","+",543,884,0.0584349671514492,52.3623221768486
"YAL054C","NC_001133.9","42881","45022","-",2142,1242,0.0208124160069142,18.649560106848
"YAL053W","NC_001133.9","45899","48250","+",2352,5309,0.0810206600186348,72.6008776882055
"YAL051W","NC_001133.9","48564","51707","+",3144,2076,0.0237009187041898,21.2378854917403
"YAL049C","NC_001133.9","51855","52595","-",741,992,0.0480522616281212,43.0586021923605
"YAL048C","NC_001133.9","52801","54789","-",1989,1404,0.0253368542692869,22.7038123039889
"YAL047C","NC_001133.9","54989","56857","-",1869,1077,0.0206836304983223,18.5341581716485
"YAL046C","NC_001133.9","57029","57385","-",357,1023,0.102855563164605,92.1666666150027
"YAL044W-A","NC_001133.9","57518","57850","+",333,1595,0.171924125002931,154.057525180846
"YAL044C","NC_001133.9","57950","58462","-",513,17629,1.23347593673252,1105.29136140665
"YAL043C","NC_001133.9","58695","61052","-",2358,3367,0.0512530464206853,45.926756872633
"YAL042W","NC_001133.9","61316","62563","+",1248,8912,0.256319095166536,229.682049900076
"YAL041W","NC_001133.9","62840","65404","+",2565,3629,0.0507831887730706,45.5057275006494
"YAL040C","NC_001133.9","65778","67520","-",1743,2035,0.041907079434212,37.552036080345
"YAL039C","NC_001133.9","68716","69525","-",810,3019,0.133782239882985,119.879399061484
"YAL038W","NC_001133.9","71786","73288","+",1503,202706,4.84092096283384,4337.84556482427
"YAL037C-A","NC_001133.9","73426","73518","-",93,64,0.0247011625851112,22.1341826046057
"YAL037W","NC_001133.9","74020","74823","+",804,781,0.0348670619955765,31.2436272761257
"YAL036C","NC_001133.9","75043","76152","-",1110,2520,0.0814888015687875,73.0203693020184
"YAL035W","NC_001133.9","76427","79435","+",3009,9223,0.110019683109997,98.5862810168031
"YAL034W-A","NC_001133.9","79718","80587","+",870,623,0.0257033164335265,23.032191198424
"YAL034C","NC_001133.9","80710","81951","-",1242,1799,0.0519912113605475,46.5882106610905
"YAL033W","NC_001133.9","82706","83227","+",522,695,0.0477897402924049,42.8233624475781
"YAL032C","NC_001133.9","83335","84474","-",1140,1723,0.0542501314621112,48.6123805698932
"YAL031C","NC_001133.9","84749","87031","-",2283,2879,0.0452643326946163,40.5603988025307
"YAL030W","NC_001133.9;NC_001133.9","87286;87501","87387;87752","+;+",354,2504,0.253893411613701,227.508446835264
"YAL029C","NC_001133.9","87855","92270","-",4416,2868,0.0233115124311849,20.8889468729862
"YAL028W","NC_001133.9","92900","94486","+",1587,1347,0.0304656913417559,27.2996533264568
"YAL027W","NC_001133.9","94687","95472","+",786,633,0.0289069008473066,25.9028545592902
"YAL026C","NC_001133.9","95630","99697","-",4068,3286,0.0289939231643499,25.980833393261
"YNCA0001W","NC_001133.9","99305","99868","+",564,48,0.00305479803246721,2.73733907211214
"YAL025C","NC_001133.9","100225","101145","-",921,2874,0.112007602776766,100.367613241793
"YAL024C","NC_001133.9","101565","105872","-",4308,970,0.00808195463673283,7.24206640538489
"YAL023C","NC_001133.9","106272","108551","-",2280,9720,0.153021264600035,137.119076941196
"YAL022C","NC_001133.9","108877","110430","-",1554,2815,0.0650201180317848,58.2631348030561
"YAL021C","NC_001133.9","110846","113359","-",2514,4022,0.057424491971898,51.4568570164724
"YAL020C","NC_001133.9","113614","114615","-",1002,1530,0.0548080155974843,49.1122885917126
"YAL019W","NC_001133.9","114919","118314","+",3396,2681,0.0283367149350041,25.3919231787128
"YAL018C","NC_001133.9","118564","119541","-",978,331,0.0121481321551872,10.8856809674971
"YAL017W","NC_001133.9","120225","124295","+",4071,3313,0.0292106151089107,26.1750064024597
"YAL016W","NC_001133.9","124879","126786","+",1908,6164,0.115959044600368,103.9084156058
"YAL015C","NC_001133.9","126903","128102","-",1200,1904,0.056951617985297,51.033124767744
"YAL014C","NC_001133.9","128252","129019","-",768,2749,0.128479515035437,115.127740929071
"YAL013W","NC_001133.9","129270","130487","+",1218,3488,0.102789690117107,92.1076391883776
"YAL012W","NC_001133.9","130799","131983","+",1185,25641,0.776670799255931,695.95806412601
"YAL011W","NC_001133.9","132199","134076","+",1878,1424,0.0272166563787228,24.3882627021195
"YAL010C","NC_001133.9","134184","135665","-",1482,1451,0.0351430602935503,31.490943438062
"YAL009W","NC_001133.9","135854","136633","+",780,1436,0.0660815476946401,59.2142591842925
"YAL008W","NC_001133.9","136914","137510","+",597,2787,0.167564882527156,150.151301388985
"YAL007C","NC_001133.9","137698","138345","-",648,2804,0.155318566011878,139.177639519875
"YNCA0002W","NC_001133.9;NC_001133.9","139152;139219","139187;139254","+;+",72,0,0,0
"YAL005C","NC_001133.9","139503","141431","-",1929,14332,0.266682759702183,238.96870766343
"YAL003W","NC_001133.9;NC_001133.9","142174;142620","142253;143160","+;+",621,18538,1.07149869505484,960.147025275482
"YNCA0003W","NC_001133.9","142367","142468","+",102,286,0.100643615569667,90.1845877630671
"YAL002W","NC_001133.9","143707","147531","+",3825,2852,0.0267632253244467,23.9819528485098
"YAL001C","NC_001133.9;NC_001133.9","147594;151097","151006;151166","-;-",3483,3773,0.038882456926173,34.8417366492046
"YAR002W","NC_001133.9","152257","153876","+",1620,2824,0.0625705606872389,56.0681389449537
"YAR002C-A","NC_001133.9","154065","154724","-",660,5554,0.30205241242393,270.662695721973
"YAR003W","NC_001133.9","155005","156285","+",1281,2096,0.0587303403150683,52.6269997408101
"YAR007C","NC_001133.9","156754","158619","-",1866,2438,0.0468967158826752,42.0231424058202
"YAR008W","NC_001133.9","158966","159793","+",828,1070,0.0463845993516836,41.56424575378
"YAR009C","NC_001133.9","160597","164187","-",3591,108,0.00107951509418014,0.967330348791508
"YAR010C","NC_001133.9","164544","165866","-",1323,6,0.000162784022138275,0.145867274817767
