"Geneid","Chr","Start","End","Strand","Length","X.scratch_tmp.grp.msc_appbio.group8.output.alignment.theAlignmentAligned.sortedByCoord.out.bam","rpkm","normalized_rpkm"
"YAL068C","NC_001133.9","1807","2169","-",363,111,0.00946581726378331,8.43790995425237
"YAL067W-A","NC_001133.9","2480","2707","+",228,3,0.000407312905020548,0.363082185086962
"YAL067C","NC_001133.9","7235","9016","-",1782,3586,0.062293731696229,55.5291618377443
"YAL065C","NC_001133.9","11565","11951","-",387,48,0.00383947668608517,3.42254214779648
"YAL064W-B","NC_001133.9","12046","12426","+",381,46,0.00373744334895495,3.33158876394756
"YAL064C-A","NC_001133.9","13363","13743","-",381,140,0.0113748275837759,10.1396179772317
"YAL064W","NC_001133.9","21566","21850","+",285,8,0.000868934197377169,0.774575328185519
"YAL063C-A","NC_001133.9","22395","22685","-",291,53,0.00563799443787893,5.02575615646145
"YAL063C","NC_001133.9","24000","27968","-",3969,331,0.00258159824608136,2.30125861628814
"YAL062W","NC_001133.9","31567","32940","+",1374,7269,0.163768246361843,145.984406592563
"YAL061W","NC_001133.9","33448","34701","+",1254,2903,0.0716623856530091,63.880459594391
"YAL060W","NC_001133.9","35155","36303","+",1149,5905,0.159089543529262,141.813771125611
"YAL059W","NC_001133.9","36509","37147","+",639,1264,0.061233344143809,54.5839233618058
"YAL058W","NC_001133.9","37464","38972","+",1509,1725,0.0353868269371729,31.5441182669985
"YAL056W","NC_001133.9","39259","41901","+",2643,5799,0.0679200048249247,60.5444695195862
"YAL055W","NC_001133.9","42177","42719","+",543,1170,0.0667003011315417,59.457215281644
"YAL054C","NC_001133.9","42881","45022","-",2142,1527,0.0220679165515615,19.671528358409
"YAL053W","NC_001133.9","45899","48250","+",2352,5340,0.0702822573867088,62.6502015287809
"YAL051W","NC_001133.9","48564","51707","+",3144,2314,0.0227836121910094,20.3095055337575
"YAL049C","NC_001133.9","51855","52595","-",741,1093,0.0456608210448676,40.7024439282102
"YAL048C","NC_001133.9","52801","54789","-",1989,1614,0.0251194721877529,22.3917109861775
"YAL047C","NC_001133.9","54989","56857","-",1869,1251,0.0207200009404674,18.4699849274093
"YAL046C","NC_001133.9","57029","57385","-",357,1138,0.0986769706706363,87.9614902627484
"YAL044W-A","NC_001133.9","57518","57850","+",333,1894,0.176066813214047,156.947453604077
"YAL044C","NC_001133.9","57950","58462","-",513,21991,1.32699527323065,1182.89486403665
"YAL043C","NC_001133.9","58695","61052","-",2358,3721,0.0488492197999113,43.5446096750859
"YAL042W","NC_001133.9","61316","62563","+",1248,10070,0.24977941704353,222.655495104771
"YAL041W","NC_001133.9","62840","65404","+",2565,4237,0.0511343638095426,45.581606465584
"YAL040C","NC_001133.9","65778","67520","-",1743,1805,0.0320569043664479,28.5757969880835
"YAL039C","NC_001133.9","68716","69525","-",810,3039,0.116141503450822,103.529523205463
"YAL038W","NC_001133.9","71786","73288","+",1503,216047,4.44970297439391,3966.50304720739
"YAL037C-A","NC_001133.9","73426","73518","-",93,62,0.0206371871877078,18.3961640444061
"YAL037W","NC_001133.9","74020","74823","+",804,854,0.0328808915266836,29.3103061453783
"YAL036C","NC_001133.9","75043","76152","-",1110,2546,0.0710030791620324,63.2927481852134
"YAL035W","NC_001133.9","76427","79435","+",3009,10988,0.113041581664274,100.766226580226
"YAL034W-A","NC_001133.9","79718","80587","+",870,776,0.0276111332028642,24.6127987904468
"YAL034C","NC_001133.9","80710","81951","-",1242,2224,0.0554312853930701,49.4119188825593
"YAL033W","NC_001133.9","82706","83227","+",522,762,0.045188323669636,40.2812557524064
"YAL032C","NC_001133.9","83335","84474","-",1140,1862,0.050561108609884,45.0706019087949
"YAL031C","NC_001133.9","84749","87031","-",2283,3443,0.0466845174029421,41.6149755616887
"YAL030W","NC_001133.9;NC_001133.9","87286;87501","87387;87752","+;+",354,2986,0.261112885349557,232.758245070324
"YAL029C","NC_001133.9","87855","92270","-",4416,3320,0.0232729148991813,20.7456741261645
"YAL028W","NC_001133.9","92900","94486","+",1587,1603,0.0312678743496177,27.8724489255037
"YAL027W","NC_001133.9","94687","95472","+",786,780,0.0307194771114734,27.383602966864
"YAL026C","NC_001133.9","95630","99697","-",4068,3611,0.0274782016721286,24.4943024942295
"YNCA0001W","NC_001133.9","99305","99868","+",564,76,0.00417134634645157,3.71837358344378
"YAL025C","NC_001133.9","100225","101145","-",921,2852,0.095858726155281,85.4492831508895
"YAL024C","NC_001133.9","101565","105872","-",4308,1063,0.00763834609350047,6.8088866222854
"YAL023C","NC_001133.9","106272","108551","-",2280,10137,0.137631030606443,122.685470340884
"YAL022C","NC_001133.9","108877","110430","-",1554,3158,0.0629075648057733,56.0763378882571
"YAL021C","NC_001133.9","110846","113359","-",2514,4519,0.0556440625902455,49.60159028441
"YAL020C","NC_001133.9","113614","114615","-",1002,1806,0.0557945509895213,49.7357369224512
"YAL019W","NC_001133.9","114919","118314","+",3396,3156,0.0287680930938188,25.6441226696756
"YAL018C","NC_001133.9","118564","119541","-",978,503,0.0159210201770199,14.1921326906998
