# Program:featureCounts v1.6.3; Command:"/usr/bin/featureCounts" "-p" "-g" "gene_id" "-a" "/scratch_tmp/grp/msc_appbio/group8/data/raw/ncbi_dataset/data/GCF_000146045.2/genomic.gtf" "-o" "/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166446/counts.txt" "/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166446/theAlignmentAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166446/theAlignmentAligned.sortedByCoord.out.bam
YAL068C	NC_001133.9	1807	2169	-	363	120
YAL067W-A	NC_001133.9	2480	2707	+	228	4
YAL067C	NC_001133.9	7235	9016	-	1782	1133
YAL065C	NC_001133.9	11565	11951	-	387	32
YAL064W-B	NC_001133.9	12046	12426	+	381	37
YAL064C-A	NC_001133.9	13363	13743	-	381	106
YAL064W	NC_001133.9	21566	21850	+	285	14
YAL063C-A	NC_001133.9	22395	22685	-	291	97
YAL063C	NC_001133.9	24000	27968	-	3969	390
YAL062W	NC_001133.9	31567	32940	+	1374	16330
YAL061W	NC_001133.9	33448	34701	+	1254	2259
YAL060W	NC_001133.9	35155	36303	+	1149	7770
YAL059W	NC_001133.9	36509	37147	+	639	1529
YAL058W	NC_001133.9	37464	38972	+	1509	1269
YAL056W	NC_001133.9	39259	41901	+	2643	5861
YAL055W	NC_001133.9	42177	42719	+	543	1402
YAL054C	NC_001133.9	42881	45022	-	2142	3781
YAL053W	NC_001133.9	45899	48250	+	2352	7247
YAL051W	NC_001133.9	48564	51707	+	3144	2192
YAL049C	NC_001133.9	51855	52595	-	741	1430
YAL048C	NC_001133.9	52801	54789	-	1989	1352
YAL047C	NC_001133.9	54989	56857	-	1869	1215
YAL046C	NC_001133.9	57029	57385	-	357	1259
YAL044W-A	NC_001133.9	57518	57850	+	333	2789
YAL044C	NC_001133.9	57950	58462	-	513	7605
YAL043C	NC_001133.9	58695	61052	-	2358	2806
YAL042W	NC_001133.9	61316	62563	+	1248	7913
YAL041W	NC_001133.9	62840	65404	+	2565	3376
YAL040C	NC_001133.9	65778	67520	-	1743	1534
YAL039C	NC_001133.9	68716	69525	-	810	10714
YAL038W	NC_001133.9	71786	73288	+	1503	208523
YAL037C-A	NC_001133.9	73426	73518	-	93	81
YAL037W	NC_001133.9	74020	74823	+	804	627
YAL036C	NC_001133.9	75043	76152	-	1110	2868
YAL035W	NC_001133.9	76427	79435	+	3009	14242
YAL034W-A	NC_001133.9	79718	80587	+	870	823
YAL034C	NC_001133.9	80710	81951	-	1242	3039
YAL033W	NC_001133.9	82706	83227	+	522	815
YAL032C	NC_001133.9	83335	84474	-	1140	2434
YAL031C	NC_001133.9	84749	87031	-	2283	2637
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	2731
YAL029C	NC_001133.9	87855	92270	-	4416	2744
YAL028W	NC_001133.9	92900	94486	+	1587	1485
YAL027W	NC_001133.9	94687	95472	+	786	867
YAL026C	NC_001133.9	95630	99697	-	4068	3190
YNCA0001W	NC_001133.9	99305	99868	+	564	24
YAL025C	NC_001133.9	100225	101145	-	921	3809
YAL024C	NC_001133.9	101565	105872	-	4308	1108
YAL023C	NC_001133.9	106272	108551	-	2280	8494
YAL022C	NC_001133.9	108877	110430	-	1554	1761
YAL021C	NC_001133.9	110846	113359	-	2514	4563
YAL020C	NC_001133.9	113614	114615	-	1002	1563
YAL019W	NC_001133.9	114919	118314	+	3396	3324
YAL018C	NC_001133.9	118564	119541	-	978	1039
YAL017W	NC_001133.9	120225	124295	+	4071	4036
YAL016W	NC_001133.9	124879	126786	+	1908	7787
YAL015C	NC_001133.9	126903	128102	-	1200	1475
YAL014C	NC_001133.9	128252	129019	-	768	2390
YAL013W	NC_001133.9	129270	130487	+	1218	2933
YAL012W	NC_001133.9	130799	131983	+	1185	4734
YAL011W	NC_001133.9	132199	134076	+	1878	2022
YAL010C	NC_001133.9	134184	135665	-	1482	1433
YAL009W	NC_001133.9	135854	136633	+	780	1458
YAL008W	NC_001133.9	136914	137510	+	597	4168
YAL007C	NC_001133.9	137698	138345	-	648	2569
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	1
YAL005C	NC_001133.9	139503	141431	-	1929	32537
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	31979
YNCA0003W	NC_001133.9	142367	142468	+	102	492
YAL002W	NC_001133.9	143707	147531	+	3825	3464
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	3947
YAR002W	NC_001133.9	152257	153876	+	1620	2388
YAR002C-A	NC_001133.9	154065	154724	-	660	6322
YAR003W	NC_001133.9	155005	156285	+	1281	1680
YAR007C	NC_001133.9	156754	158619	-	1866	4300
YAR008W	NC_001133.9	158966	159793	+	828	1372
YAR009C	NC_001133.9	160597	164187	-	3591	34
YAR010C	NC_001133.9	164544	165866	-	1323	6
YNCA0004W	NC_001133.9	166267	166339	+	73	3
YAR014C	NC_001133.9	166742	168871	-	2130	3164
YAR015W	NC_001133.9	169375	170295	+	921	9663
YAR018C	NC_001133.9	170396	171703	-	1308	1023
YAR019C	NC_001133.9	172211	175135	-	2925	1255
YAR020C	NC_001133.9	176856	177023	-	168	1179
YAR023C	NC_001133.9	179281	179820	-	540	486
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	1
YNCA0006C	NC_001133.9	182522	182603	-	82	1
YAR027W	NC_001133.9	183770	184477	+	708	2882
YAR028W	NC_001133.9	184892	185596	+	705	1259
YAR029W	NC_001133.9	186321	186545	+	225	439
YAR031W	NC_001133.9	186836	187732	+	897	367
YAR033W	NC_001133.9	188107	188811	+	705	219
YAR035W	NC_001133.9	190193	192256	+	2064	7458
YAR035C-A	NC_001133.9	192337	192417	-	81	30
YAR042W	NC_001133.9	192619	196185	+	3567	3139
YAR050W	NC_001133.9	203403	208016	+	4614	407
YAR061W	NC_001133.9	218140	219145	+	1006	1
YAR064W	NC_001133.9	220198	220497	+	300	14
YAR066W	NC_001133.9	221049	221660	+	612	10
YAR068W	NC_001133.9	222406	222891	+	486	5
YAR071W	NC_001133.9	225460	226863	+	1404	130
YBL113C	NC_001134.8	280	2658	-	2379	386
YBL112C	NC_001134.8	2582	2899	-	318	0
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	4
YBL108C-A	NC_001134.8	7605	7733	-	129	0
YNCB0001W	NC_001134.8	9583	9666	+	84	2
YBL107C	NC_001134.8	9961	10551	-	591	2679
YBL106C	NC_001134.8	10847	13879	-	3033	2084
YBL105C	NC_001134.8	14241	17696	-	3456	5158
YBL104C	NC_001134.8	18177	21293	-	3117	2167
YBL103C	NC_001134.8	22076	23536	-	1461	2187
YBL102W	NC_001134.8	24098	24745	+	648	3010
YBL101C	NC_001134.8	24946	28299	-	3354	3304
YBL100W-C	NC_001134.8	28427	28546	+	120	64
YBL100W-B	NC_001134.8	29935	35248	+	5314	201
YBL100W-A	NC_001134.8	29935	31251	+	1317	0
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	0
YBL099W	NC_001134.8	37053	38690	+	1638	31604
YBL098W	NC_001134.8	39145	40527	+	1383	4816
YBL097W	NC_001134.8	40831	43095	+	2265	405
YBL095W	NC_001134.8	43277	44089	+	813	1246
YBL093C	NC_001134.8	44256	44918	-	663	7323
YBL092W	NC_001134.8	45978	46370	+	393	40705
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	2103
YBL091C	NC_001134.8	47363	48628	-	1266	5923
YBL090W	NC_001134.8	48825	49358	+	534	2306
YBL089W	NC_001134.8	49574	50953	+	1380	1052
YBL088C	NC_001134.8	51019	59382	-	8364	2316
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	10250
YBL086C	NC_001134.8	61202	62602	-	1401	2013
YBL085W	NC_001134.8	63876	66818	+	2943	3615
YBL084C	NC_001134.8	67169	69445	-	2277	1973
YBL082C	NC_001134.8	69751	71127	-	1377	1268
YBL081W	NC_001134.8	71866	72972	+	1107	673
YBL080C	NC_001134.8	73070	74695	-	1626	1422
YBL079W	NC_001134.8	75259	79767	+	4509	3028
YBL078C	NC_001134.8	80378	80731	-	354	2644
YBL076C	NC_001134.8	81043	84261	-	3219	14727
